,Cities,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max temp (F),Wind Speed (mph)
0,la libertad,0,PE,2018-04-03,55,-16.38,-71.56,62.6,9.17
1,thompson,75,CA,2018-04-03,42,55.74,-97.86,8.6,12.75
2,tautira,75,PF,2018-04-03,74,-17.73,-149.15,78.8,2.24
3,bengkulu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
4,saskylakh,0,RU,2018-04-03,28,71.97,114.09,-19.43,5.17
5,beringovskiy,12,RU,2018-04-03,93,63.05,179.32,16.67,5.95
6,bredasdorp,44,ZA,2018-04-03,77,-34.53,20.04,69.8,9.17
7,dwarka,20,IN,2018-04-03,45,28.58,77.04,87.8,6.93
8,turukhansk,36,RU,2018-04-03,42,65.8,87.96,-13.76,5.17
9,hofn,0,IS,2018-04-03,100,64.25,-15.21,35.12,19.48
10,rikitea,64,PF,2018-04-03,100,-23.12,-134.97,79.67,11.54
11,umm kaddadah,0,SD,2018-04-03,11,13.6,26.69,74.09,8.08
12,nikolskoye,40,RU,2018-04-03,59,59.7,30.79,35.6,11.18
13,mahebourg,90,MU,2018-04-03,83,-20.41,57.7,82.4,9.17
14,ushuaia,40,AR,2018-04-03,81,-54.81,-68.31,46.4,7.18
15,cape town,0,ZA,2018-04-03,68,-33.93,18.42,71.6,13.87
16,meulaboh,76,ID,2018-04-03,100,4.14,96.13,79.49,3.83
17,malwan,NA,NA,2018-04-03,NA,NA,NA,NA,NA
18,saint george,0,GR,2018-04-03,71,39.45,22.34,57.2,4.7
19,aswan,0,EG,2018-04-03,9,24.09,32.9,87.8,5.82
20,mbandaka,32,CD,2018-04-03,79,0.05,18.26,79.31,4.61
21,hambantota,20,LK,2018-04-03,100,6.12,81.12,79.49,5.17
22,lavrentiya,0,RU,2018-04-03,92,65.58,-170.99,19.55,19.04
23,sioux lookout,40,CA,2018-04-03,28,50.1,-91.92,14,3.36
24,hobart,75,AU,2018-04-03,62,-42.88,147.33,57.2,1.12
25,ornskoldsvik,0,SE,2018-04-03,43,63.29,18.72,33.8,6.93
26,kapaa,1,US,2018-04-03,83,22.08,-159.32,69.8,6.93
27,illoqqortoormiut,NA,NA,2018-04-03,NA,NA,NA,NA,NA
28,mataura,12,NZ,2018-04-03,63,-46.19,168.86,59.24,27.98
29,belushya guba,NA,NA,2018-04-03,NA,NA,NA,NA,NA
30,tuktoyaktuk,90,CA,2018-04-03,77,69.44,-133.03,-0.41,4.7
31,balkanabat,12,TM,2018-04-03,77,39.51,54.36,51.05,3.15
32,lata,44,IN,2018-04-03,96,30.78,78.62,47.18,1.92
33,port elizabeth,90,US,2018-04-03,93,39.31,-74.98,44.6,9.17
34,albany,90,US,2018-04-03,80,42.65,-73.75,39.2,9.17
35,ponta do sol,48,BR,2018-04-03,91,-20.63,-46,76.61,6.96
36,saldanha,92,PT,2018-04-03,91,41.42,-6.55,47.09,17.02
37,kushima,0,JP,2018-04-03,100,31.5,131.29,56.45,5.95
38,mar del plata,56,AR,2018-04-03,56,-46.43,-67.52,66.71,2.26
39,qaanaaq,0,GL,2018-04-03,84,77.48,-69.36,4.97,9.98
40,atuona,80,PF,2018-04-03,100,-9.8,-139.03,81.65,17.13
41,podosinovets,92,RU,2018-04-03,96,60.28,47.06,37.73,11.77
42,busselton,0,AU,2018-04-03,100,-33.64,115.35,64.55,17.47
43,agen,0,FR,2018-04-03,56,44.2,0.62,68,13.87
44,praia da vitoria,75,PT,2018-04-03,67,38.73,-27.07,62.6,18.25
45,new norfolk,75,AU,2018-04-03,62,-42.78,147.06,57.2,1.12
46,luderitz,88,NA,2018-04-03,47,-26.65,15.16,80.6,10.29
47,ketchikan,90,US,2018-04-03,100,55.34,-131.65,33.8,4.61
48,caravelas,0,BR,2018-04-03,100,-17.73,-39.27,81.47,12.44
49,xichang,56,CN,2018-04-03,41,27.88,102.25,54.92,1.7
50,sorland,0,NO,2018-04-03,68,67.67,12.69,33.8,6.93
51,sompeta,0,IN,2018-04-03,91,18.93,84.6,72.65,4.61
52,praia,75,BR,2018-04-03,48,-20.25,-43.81,87.8,5.82
53,kavieng,8,PG,2018-04-03,100,-2.57,150.8,83.09,9.08
54,east london,0,ZA,2018-04-03,94,-33.02,27.91,68,3.36
55,price,1,US,2018-04-03,11,39.6,-110.81,37.4,1.81
56,ancud,92,CL,2018-04-03,97,-41.87,-73.83,59.42,14.45
57,dzhusaly,NA,NA,2018-04-03,NA,NA,NA,NA,NA
58,kudahuvadhoo,80,MV,2018-04-03,100,2.67,72.89,85.79,1.59
59,arraial do cabo,20,BR,2018-04-03,53,-22.97,-42.02,95,9.17
60,punta arenas,40,CL,2018-04-03,100,-53.16,-70.91,44.6,18.34
61,saint-philippe,90,CA,2018-04-03,44,45.36,-73.48,44.6,4.7
62,mys shmidta,NA,NA,2018-04-03,NA,NA,NA,NA,NA
63,vaini,8,IN,2018-04-03,79,15.34,74.49,71.75,3.6
64,bluff,92,AU,2018-04-03,55,-23.58,149.07,73.55,17.58
65,stokmarknes,0,NO,2018-04-03,53,68.56,14.91,26.6,4.7
66,ust-kuyga,80,RU,2018-04-03,79,70,135.55,6.59,5.95
67,namibe,92,AO,2018-04-03,100,-15.19,12.15,79.22,9.98
68,khatanga,0,RU,2018-04-03,35,71.98,102.47,-23.66,3.15
69,aflu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
70,clyde river,90,CA,2018-04-03,78,70.47,-68.59,10.4,14.99
71,esperance,40,TT,2018-04-03,55,10.24,-61.45,87.8,20.8
72,sao filipe,0,CV,2018-04-03,93,14.9,-24.5,71.48,14
73,tafo,24,GH,2018-04-03,59,6.73,-1.61,86.33,5.95
74,seoul,90,KR,2018-04-03,87,37.57,126.98,62.6,3.36
75,harper,90,US,2018-04-03,83,30.3,-99.24,78.8,10.29
